"batch","X_unit_id","X_last_judgment_at","any_comments","what_service_gives_better_results","what_service_gives_better_results.confidence","agba","agbb","agfa","agfb","b1a","b1b","b2a","b2b","b3a","b3b","b4a","b4b","b5a","b5b","d1a","d1b","d2a","d2b","d3a","d3b","d4a","d4b","d5a","d5b","dagb","dagf","dndcgb","dndcgf","f1a","f1b","f2a","f2b","f3a","f3b","f4a","f4b","f5a","f5b","id","ndcgba","ndcgbb","ndcgfa","ndcgfb","ov","query"
1,151312794,"4/6/2012 22:22:41","","They are both equally good",1,1,1,0.75,0.762,2,2,2,2,2,2,2,2,2,2,"d000386","d008716","d007374","d012238","d010399","d001423","d008716","d010399","d001423","d007374",0,-0.012,0,-0.013911376632796,71,70,67,77,87,80,70,87,80,67,1,1,1,0.738921139310192,0.752832515942988,4,"d005834"
1,151312795,"4/6/2012 22:08:05","","They are both equally good",1,1,1,0.808,0.872,2,2,2,2,2,2,2,2,2,2,"d001266","d009529","d004061","d016391","d007168","d009122","d014222","d010810","d005086","d017317",0,-0.0639999999999999,0,-0.072574034615573,76,88,76,75,77,95,89,86,86,92,2,1,1,0.793805194257155,0.866379228872728,0,"d015538"
1,151312796,"4/6/2012 22:26:07","","They are both equally good",1,0.6,0.6,0.468,0.456,0,0,2,2,2,2,2,2,0,0,"d000576","d017621","d006421","d000798","d010273","d006421","d012910","d002515","e001116","e016650",0,0.012,0,-0.01132667750593,12,22,62,69,77,62,77,66,6,9,3,0.529634717,0.529634717,0.424292321828208,0.435618999334138,1,"d019428"
1,151312797,"4/6/2012 21:54:14","","They are both equally good",1,0.9,0.9,0.7,0.73,2,2,2,2,1,2,2,1,2,2,"e010366","e015439","e003475","e013927","e003693","e018912","e002663","e001327","b003486","e008927",0,-0.03,-0.0117558760000001,-0.0266126030352271,70,70,75,75,60,80,75,70,70,70,4,0.915209949,0.926965825,0.701044720465181,0.727657323500408,0,"e019738"
1,151312798,"4/6/2012 22:39:20","","Service A",1,0.5,0.5,0.46,0.48,1,2,2,0,2,0,0,1,0,2,"d007281","d008188","d010101","e011741","d005671","e012442","e017487","d002229","e012064","d011789",0,-0.02,0.00974701199999994,-0.0244950951975441,35,79,89,10,70,20,16,46,20,85,5,0.55314647,0.543399458,0.477471870782563,0.501966965980107,0,"d007449"
1,151312799,"4/6/2012 21:26:12","","They are both equally good",1,0.5,0.5,0.48,0.474,2,0,0,1,0,2,1,2,2,0,"d008188","e011741","e011741","b003635","e012442","d017037","d002229","d011789","d011789","e012064",0,0.00600000000000001,0.120757873,0.094777889011891,79,10,10,36,20,86,46,85,85,20,6,0.543399458,0.422641585,0.501966965980107,0.407189076968216,2,"d007449"
1,151312800,"4/6/2012 23:48:06","","Service A",0.5,0,0,0.058,0.13,0,0,0,0,0,0,0,0,0,0,"b008726","b002879","b012806","b006932","a005327","b008726","b007296","b003438","b002879","b017808",0,-0.072,0,-0.0513041702994941,5,3,6,16,9,5,6,16,3,25,7,0,0,0.0577596487009979,0.109063819000492,2,"a000369"
1,151312801,"4/7/2012 00:52:47","","They are both equally good",1,0.9,0.9,0.678,0.632,1,2,2,2,2,2,2,1,2,2,"a000033","a000243","b010504","a005185","a003151","a009022","a000243","b007288","a009389","a002073",0,0.046,-0.0965459280000001,0.013089067537977,63,75,72,66,63,69,75,40,66,66,8,0.830419897,0.926965825,0.670723118132603,0.657634050594626,1,"a000184"
1,151312802,"4/6/2012 22:38:31","","They are both equally bad",1,0,0,0.188,0.174,0,0,0,0,0,0,0,0,0,0,"e011837","e012442","e006592","e006592","e005504","e011741","e012064","a006364","a006364","e012064",0,0.014,0,0.00922216874835802,18,20,22,22,19,10,20,15,15,20,9,0,0,0.189240466287233,0.180018297538875,3,"d007449"
1,151312803,"4/6/2012 23:07:32","","They are both equally bad",1,0.8,0.8,0.66,0.64,2,2,2,2,1,2,2,1,1,1,"b019969","b007164","b007164","a000115","b009562","a005327","a005327","f008240","a003724","b001487",0,0.02,-0.0117558760000001,-0.00705352583823105,70,80,80,80,60,70,70,40,50,50,10,0.84960741,0.861363286,0.678199600707304,0.685253126545535,2,"b011836"
1,151312804,"4/6/2012 21:24:54","","Service B",1,0,0,0.2,0.22,0,0,0,0,0,0,0,0,0,0,"a002676","b004672","b000539","f006821","a000987","b018278","a009367","b014522","a002601","b016908",0,-0.02,0,-0.025637901805143,10,20,30,20,30,30,20,20,10,20,11,0,0,0.191320108458538,0.216958010263681,0,"b011836"
1,151312805,"4/6/2012 22:31:16","","They are both equally bad",1,0.1,0.1,0.172,0.172,0,0,0,0,0,0,0,0,1,1,"b005361","b005361","e013842","e013842","b005170","b005170","e019653","e019653","d001348","d001348",0,0,0,0,8,8,9,9,15,15,7,7,47,47,12,0.065602539,0.065602539,0.143719766563308,0.143719766563308,5,"d012214"
1,151312806,"4/6/2012 21:58:46","","Service A",1,0.6,0.6,0.652,0.61,1,2,1,1,1,1,1,0,2,2,"a008370","a001891","b000189","a003858","b001644","b019424","a006058","b006932","b005327","b014475",0,0.042,-0.096545927,-0.00612557551706305,66,91,66,49,56,62,60,16,78,87,13,0.565602539,0.662148466,0.650022498047238,0.656148073564301,0,"a000369"
1,151312807,"4/6/2012 21:45:33","","They are both equally bad",1,0.5,0.5,0.528,0.528,2,2,0,0,1,1,0,0,2,2,"d000970","d000970","e016650","e016650","d003005","d003005","e011446","e011446","d018361","d018361",0,0,0,0,88,88,3,3,72,72,7,7,94,94,14,0.555155334,0.555155334,0.560535799831911,0.560535799831911,5,"d017427"
